Daily Page,Content,Date,Notes,PARA,Protein Intake in g,Slept 7+hours,Tasks,Win,Workout
Daily Page,,"March 10, 2025",,,,No,,,
Daily Page,,"March 9, 2025",,,,No,,,
Daily Page,,"March 12, 2025",,,,No,,,
8 March 2025,,"March 8, 2025",,,,No,,,
Daily Page,,"March 11, 2025",,,,No,,,
Daily Page,,"March 13, 2025",,,,No,,,
Daily Page,,"March 16, 2025",,,,No,,,
Daily Page,,"March 20, 2025",,,,No,,,
Daily Page,,"March 14, 2025",,,,No,,,
Daily Page,,"March 19, 2025",,,,No,,,
Daily Page,,"March 18, 2025",,,,No,,,
Daily Page,,"March 15, 2025",,,,No,,,
Daily Page,,"March 21, 2025",,,,No,,,
Daily Page,,"March 17, 2025",,,,No,,,
Daily Page,,"March 26, 2025",,,,No,,,
Daily Page,,"April 2, 2025",,,,No,,,
Daily Page,,"March 24, 2025",,,,No,,,
Daily Page,,"March 25, 2025",,,,No,,,
Daily Page,,"March 29, 2025",,,,No,,,
Daily Page,,"March 30, 2025",,,,No,,,
Daily Page,,"March 22, 2025",,,,No,,,
Daily Page,,"March 31, 2025",,,,No,,,
Daily Page,,"March 27, 2025",,,,No,,,
Daily Page,,"April 1, 2025",,,,No,,,
Daily Page,,"March 28, 2025",,,,No,,,
Daily Page,,"March 23, 2025",,,,No,,,
Daily Page,,"April 3, 2025",,,,No,,,
Daily Page,,"April 8, 2025",,,,No,,,
Daily Page,,"April 6, 2025",,,,No,,,
Daily Page,,"April 13, 2025",,,,No,,,
Daily Page,,"April 4, 2025",,,,No,,,
Daily Page,,"April 11, 2025",,,,No,,,
Daily Page,,"April 12, 2025",,,,No,,,
Daily Page,,"April 9, 2025",,,,No,,,
Daily Page,,"April 10, 2025",,,,No,,,
Daily Page,,"April 5, 2025",,,,No,,,
Daily Page,,"April 7, 2025",,,,No,,,
Daily Page,,"April 22, 2025",,,,No,,,
Daily Page,,"April 24, 2025",,,,No,,,
Daily Page,,"April 15, 2025",,,,No,,,
Daily Page,,"April 19, 2025",,,,No,,,
Daily Page,,"April 14, 2025",,,,No,,,
Daily Page,,"April 18, 2025",,,,No,,,
Daily Page,,"April 21, 2025",,,,No,,,
Daily Page,,"April 23, 2025",,,,No,,,
Daily Page,,"April 17, 2025",,,,No,,,
,,,,,,No,,,
Daily Page,,"April 16, 2025",,,,No,,,
Daily Page,,"April 20, 2025",,,,No,,,
Daily Page,,"April 25, 2025",,,,No,,,
Daily Page,,"April 29, 2025",,,,No,,,
Daily Page,,"April 27, 2025",,,,No,,,
Daily Page,,"April 28, 2025",,,,No,,,
Daily Page,,"April 26, 2025",,,,No,,,
Daily Page,,"May 2, 2025",,,,No,,,
Daily Page,,"May 5, 2025",,,,No,,,
Daily Page,,"April 30, 2025",,,,No,,,
Daily Page,,"May 3, 2025",,,,No,,,
Daily Page,,"May 1, 2025",,,,No,,,
Daily Page,,"May 4, 2025",,,,No,,,
Daily Page,,"May 12, 2025",,,,No,,,
Daily Page,,"May 10, 2025",,,,No,,,
Daily Page,,"May 8, 2025",,,,No,,,
Daily Page,,"May 9, 2025",,,,No,,,
Daily Page,,"May 15, 2025",,,,No,,,
Daily Page,,"May 7, 2025",,,,No,,,
Daily Page,,"May 16, 2025",,,,No,,,
Daily Page,,"May 13, 2025",,,,No,,,
Daily Page,,"May 6, 2025",,,,No,,,
Daily Page,,"May 14, 2025",,,,No,,,
Daily Page,,"May 17, 2025",,,,No,,,
Daily Page,,"May 11, 2025",,,,No,,,
Daily Page,,"May 18, 2025",,,,No,,,
Daily Page,,"May 25, 2025",,,,No,,,
Daily Page,,"May 26, 2025",,,,No,,,
Daily Page,,"May 22, 2025",,,,No,,,
Daily Page,,"May 28, 2025",,,,No,,,
Daily Page,,"May 20, 2025",,,,No,,,
Daily Page,,"May 19, 2025",,,,No,,,
Daily Page,,"May 24, 2025",,,,No,,,
Daily Page,,"May 21, 2025",,,,No,,,
Daily Page,,"May 27, 2025",,,,No,,,
Daily Page,,"May 23, 2025",,,,No,,,
Daily Page,,"June 6, 2025",,,,No,,,
Daily Page,,"June 3, 2025",,,,No,,,
Daily Page,,"June 4, 2025",,,,No,,,
Daily Page,,"May 29, 2025",,,,No,,,
Daily Page,,"June 9, 2025",,,,No,,,
Daily Page,,"June 1, 2025",,,,No,,,
Daily Page,,"June 5, 2025",,,,No,,,
Daily Page,,"May 30, 2025",,,,No,,,
Daily Page,,"June 2, 2025",,,,No,,,
Daily Page,,"June 10, 2025",,,,No,,,
Daily Page,,"June 7, 2025",,,,No,,,
Daily Page,,"June 11, 2025",,,,No,,,
Daily Page,,"May 31, 2025",,,,No,,,
Daily Page,,"June 8, 2025",,,,No,,,
Daily Page,,"June 24, 2025",,,,No,,,
Daily Page,,"June 19, 2025",,,,No,,,
Daily Page,,"June 22, 2025",,,,No,,,
Daily Page,,"June 18, 2025",,,,No,,,
Daily Page,,"June 23, 2025",,,,No,,,
Daily Page,,"June 16, 2025",,,,No,,,
Daily Page,,"June 21, 2025",,,,No,,,
Daily Page,,"June 13, 2025",,,,No,,,
Daily Page,,"June 20, 2025",,,,No,,,
Daily Page,,"June 14, 2025",,,,No,,,
Daily Page,,"June 17, 2025",,,,No,,,
Daily Page,,"June 15, 2025",,,,No,,,
Daily Page,,"June 25, 2025",,,,No,,,
Daily Page,,"June 12, 2025",,,,No,,,
Daily Page,,"July 7, 2025",,,,No,,,
Daily Page,,"July 4, 2025",,,,No,,,
Daily Page,,"July 5, 2025",,,,No,,,
Daily Page,,"June 26, 2025",,,,No,,,
Daily Page,,"July 6, 2025",,,,No,,,
Daily Page,,"June 27, 2025",,,,No,,,
Daily Page,,"July 1, 2025",,,,No,,,
Daily Page,,"July 3, 2025",,,,No,,,
Daily Page,,"June 30, 2025",,,,No,,,
Daily Page,,"June 29, 2025",,,,No,,,
Daily Page,,"June 28, 2025",,,,No,,,
Daily Page,,"July 2, 2025",,,,No,,,
Daily Page,,"July 8, 2025",,,,No,,,
Daily Page,,"July 14, 2025",,,,No,,,
Daily Page,,"July 13, 2025",,,,No,,,
Daily Page,,"July 15, 2025",,,,No,,,
Daily Page,,"July 9, 2025",,,,No,,,
Daily Page,,"July 17, 2025",,,,No,,,
Daily Page,,"July 10, 2025",,,,No,,,
Daily Page,,"July 12, 2025",,,,No,,,
Daily Page,,"July 16, 2025",,,,No,,,
Daily Page,,"July 11, 2025",,,,No,,,
Daily Page,,"July 18, 2025",,,,No,,,
Daily Page,,"July 24, 2025",,,,No,,,
Daily Page,,"July 27, 2025",,,,No,,,
Daily Page,,"July 21, 2025",,,,No,,,
Daily Page,,"July 25, 2025",,,,No,,,
Daily Page,,"July 22, 2025",,,,No,,,
Daily Page,,"July 20, 2025",,,,No,,,
Daily Page,,"July 26, 2025",,,,No,,,
Daily Page,,"July 23, 2025",,,,No,,,
Daily Page,,"July 19, 2025",,,,No,,,
Daily Page,,"July 28, 2025",,,,No,,,
Daily Page,,"August 2, 2025",,,,No,,,
Daily Page,,"July 31, 2025",,,,No,,,
Daily Page,,"August 4, 2025",,,,No,,,
Daily Page,,"July 29, 2025",,,,No,,,
Daily Page,,"August 1, 2025",,,,No,,,
Daily Page,,"July 30, 2025",,,,No,,,
Daily Page,,"August 5, 2025",,,,No,,,
Daily Page,,"August 6, 2025",,,,No,,,
Daily Page,,"August 3, 2025",,,,No,,,
Daily Page,,"August 8, 2025",,,,No,,,
Daily Page,,"August 11, 2025",,,,No,,,
Daily Page,,"August 13, 2025",,,,No,,,
Daily Page,,"August 7, 2025",,,,No,,,
Daily Page,,"August 12, 2025",,,,No,,,
Daily Page,,"August 9, 2025",,,,No,,,
Daily Page,,"August 14, 2025",,,,No,,,
Daily Page,,"August 10, 2025",,,,No,,,
Daily Page,,"August 17, 2025",,,,No,,,
Daily Page,,"August 15, 2025",,,,No,,,
Daily Page,,"August 16, 2025",,,,No,,,
Daily Page,,"August 18, 2025",,,,No,,,
Daily Page,,"August 27, 2025",,,,No,,,
Daily Page,,"August 21, 2025",,,,No,,,
Daily Page,,"August 25, 2025",,,,No,,,
Daily Page,,"August 28, 2025",,,,No,,,
Daily Page,,"August 26, 2025",,,,No,,,
Daily Page,,"August 23, 2025",,,,No,,,
Daily Page,,"August 22, 2025",,,,No,,,
Daily Page,,"August 24, 2025",,,,No,,,
Daily Page,,"August 20, 2025",,,,No,,,
Daily Page,,"August 19, 2025",,,,No,,,
Daily Page,,"September 2, 2025",,,,No,,,
Daily Page,,"August 31, 2025",,,,No,,,
Daily Page,,"September 6, 2025",,,,No,,,
Daily Page,,"September 7, 2025",,,,No,,,
Daily Page,,"September 1, 2025",,,,No,,,
Daily Page,,"September 4, 2025",,,,No,,,
Daily Page,,"August 30, 2025",,,,No,,,
Daily Page,,"September 8, 2025",,,,No,,,
Daily Page,,"September 3, 2025",,,,No,,,
Daily Page,,"September 5, 2025",,,,No,,,
Daily Page,,"August 29, 2025",,,,No,,,
Daily Page,,"September 18, 2025",,,,No,,,
Daily Page,,"September 12, 2025",,,,No,,,
Daily Page,,"September 19, 2025",,,,No,,,
Daily Page,,"September 9, 2025",,,,No,,,
Daily Page,,"September 16, 2025",,,,No,,,
Daily Page,,"September 11, 2025",,,,No,,,
Daily Page,,"September 13, 2025",,,,No,,,
Daily Page,,"September 17, 2025",,,,No,,,
Daily Page,,"September 15, 2025",,,,No,,,
Daily Page,,"September 10, 2025",,,,No,,,
Daily Page,,"September 14, 2025",,,,No,,,
Daily Page,,"September 21, 2025",,,,No,,,
Daily Page,,"September 25, 2025",,,,No,,,
Daily Page,,"September 24, 2025",,,,No,,,
Daily Page,,"September 29, 2025",,,,No,,,
Daily Page,,"September 27, 2025",,,,No,,,
Daily Page,,"September 22, 2025",,,,No,,,
Daily Page,,"September 23, 2025",,,,No,,,
Daily Page,,"September 28, 2025",,,,No,,,
Daily Page,,"September 30, 2025",,,,No,,,
Daily Page,,"September 20, 2025",,,,No,,,
Daily Page,,"September 26, 2025",,,,No,,,
Daily Page,,"October 7, 2025",,,,No,,,
Daily Page,,"October 6, 2025",,,,No,,,
Daily Page,,"October 9, 2025",,,,No,,,
Daily Page,,"October 10, 2025",,,,No,,,
Daily Page,,"October 8, 2025",,,,No,,,
Daily Page,,"October 4, 2025",,,,No,,,
Daily Page,,"October 5, 2025",,,,No,,,
Daily Page,,"October 2, 2025",,,,No,,,
Daily Page,,"October 3, 2025",,,,No,,,
Daily Page,,"October 11, 2025",,,,No,,,
Daily Page,,"October 1, 2025",,,,No,,,
Daily Page,,"October 14, 2025",,,,No,,,
Daily Page,,"October 12, 2025",,,,No,,,
Daily Page,,"October 16, 2025",,,,No,,,
Daily Page,,"October 19, 2025",,,,No,,,
Daily Page,,"October 20, 2025",,,,No,,,
Daily Page,,"October 21, 2025",,,,No,,,
Daily Page,,"October 22, 2025",,,,No,,,
Daily Page,,"October 17, 2025",,,,No,,,
Daily Page,,"October 18, 2025",,,,No,,,
Daily Page,,"October 13, 2025",,,,No,,,
Daily Page,,"October 15, 2025",,,,No,,,
Daily Page,,"October 26, 2025",,,,No,,,
Daily Page,,"October 24, 2025",,,,No,,,
Daily Page,,"October 30, 2025",,,,No,,,
Daily Page,,"November 2, 2025",,,,No,,,
Daily Page,,"October 29, 2025",,,,No,,,
Daily Page,,"October 23, 2025",,,,No,,,
Daily Page,,"November 1, 2025",,,,No,,,
Daily Page,,"October 31, 2025",,,,No,,,
Daily Page,,"October 25, 2025",,,,No,,,
Daily Page,,"October 27, 2025",,,,No,,,
Daily Page,,"October 28, 2025",,,,No,,,
Daily Page,,"November 3, 2025",,,,No,,,
Daily Page,,"November 4, 2025",,,,No,,,
Daily Page,,"November 5, 2025",,,,No,,,
Daily Page,,"November 5, 2025",,,,No,Contact Ty from USA Cares to see if you can connect and find out about any resources. (My%20Second%20Brain%2011%2005%202025/SB_Tasks/Contact%20Ty%20from%20USA%20Cares%20to%20see%20if%20you%20can%20connec%202a2945fa575080339ef4dbb053bdee7a.md),,