Name,Category,Status,Deadline,Tasks,Notes,Content,Daily Page,PARA
Go on a meditation retreat,Project,Not started,,,,,,
Plan Trip to Pittsburgh,Project,Active,"November 11, 2025","Book flight to Pittsburgh (SB_Tasks/Book%20flight%20to%20Pittsburgh%202a0945fa5750812db7c3d96f42985c19.csv), Book diving trip (SB_Tasks/Book%20diving%20trip%202a0945fa57508182a5cdc52516b0ac84.csv), Find AirBnb in Playa del Carmen (SB_Tasks/Find%20AirBnb%20in%20Playa%20del%20Carmen%202a0945fa5750814d970de537f4ea86c5.csv)",,,,
Set up Second Brain Notion template,Project,Active,"March 31, 2025",Watch walkthrough videos (SB_Tasks/Watch%20walkthrough%20videos%202a0945fa5750816d980df2dec003d94a.csv),,,,
Finances,Area,Active,,,,,,
Home,Area,Active,,Water the plants (SB_Tasks/Water%20the%20plants%202a0945fa5750812ca5a7f241b2e862b8.csv),,,,
Health,Area,Active,,Sign up for 10k (SB_Tasks/Sign%20up%20for%2010k%202a0945fa57508123ba3ec01fbeb16500.csv),,,,
Travel,Area,Active,,,,,,
Kids,Area,Active,,,,,,
Car,Area,Active,,Renew car insurance  (SB_Tasks/Renew%20car%20insurance%202a0945fa57508163b15dd2b48c238986.csv),,,,
Pet(s),Area,Active,,,,,,
Coffee,Resource,Active,,Purchase new coffee grinder (SB_Tasks/Purchase%20new%20coffee%20grinder%202a0945fa575081319bb9d434120d36fd.csv),,,,
The PARA Method,Resource,Active,,Track mom’s application for apartment (SB_Tasks/Track%20mom%E2%80%99s%20application%20for%20apartment%202a1945fa5750807285e7c69f7350b0bb.csv),,,,
Journaling,Resource,Active,,,,,,