Name,Status,Do on,Deadline,PARA,Waiting on,Clear Waiting on,Content,Notes,Daily Page
Water the plants,Not started,"February 27, 2025",,Home (SB_PARA/Home%202a0945fa575081888866fc230a1c8760.csv),,,,,
"Renew car insurance ",In progress,"March 8, 2025","March 22, 2025",Car (SB_PARA/Car%202a0945fa575081ea99fbe98f19128a4d.csv),,,,,
Book trial at this new space in downtown,Not started,"March 9, 2025",,,,,,,
Watch walkthrough videos,Not started,"March 12, 2025",,Set up Second Brain Notion template (SB_PARA/Set%20up%20Second%20Brain%20Notion%20template%202a0945fa575081ea97add964ba1b2006.csv),,,,,
Book diving trip,Not started,"March 19, 2025",,Plan Trip to Pittsburgh (SB_PARA/Plan%20Trip%20to%20Pittsburgh%202a0945fa5750811c929ff63e28badd89.csv),,,,,
Sign up for 10k,Not started,"April 10, 2025",,Health (SB_PARA/Health%202a0945fa57508193a8d2cd7273f81115.csv),,,,,
Contact Ty from USA Cares to see if you can connect and find out about any resources.,Not started,"November 5, 2025",,,,,,Untitled (SB_Notes/Untitled%202a2945fa575080648cb4fd4337463e0a.csv),Daily Page (SB_Daily%20Pages/Daily%20Page%202a2945fa575080d58ffbf9e32f9f4f18.csv)
Find AirBnb in Playa del Carmen,Waiting on,,"March 12, 2025",Plan Trip to Pittsburgh (SB_PARA/Plan%20Trip%20to%20Pittsburgh%202a0945fa5750811c929ff63e28badd89.csv),Hearing back from host,,,,
Book flight to Pittsburgh,Waiting on,,"November 11, 2025",Plan Trip to Pittsburgh (SB_PARA/Plan%20Trip%20to%20Pittsburgh%202a0945fa5750811c929ff63e28badd89.csv),Move  in Approval and Date,,,,
Connect with Ty from USA Cares,In progress,,,,,,,,
Track mom’s application for apartment,Waiting on,,,The PARA Method (SB_PARA/The%20PARA%20Method%202a0945fa57508140aa6ee48e71da0b1d.csv),Ironhorse to send an updated price list,,,,
Purchase new coffee grinder,Waiting on,,,Coffee (SB_PARA/Coffee%202a0945fa575081288796f5a814140934.csv),Recommendation from Jarna,,,,